Name,Symbol
Aurobindo Pharma Limited,AUROPHARMA
Ausom Enterprise Limited,AUSOMENT
Autoline Industries Limited,AUTOIND
Autolite (India) Limited,AUTOLITIND
Automotive Axles Limited,AUTOAXLES
Automotive Stampings and Assemblies Limited,ASAL
Avadh Sugar & Energy Limited,AVADHSUGAR
Avanti Feeds Limited,AVANTIFEED
Aventus Buildcon Limited,AVENTUS
Avenue Supermarts Limited,DMART
AVG Logistics Limited,AVG
Avro India Limited,AVROIND
AVSL Industries Limited,AVSL
AVT Natural Products Limited,AVTNPL
Axis Bank Limited,AXISBANK
AXISCADES Engineering Technologies Limited,AXISCADES
AYM Syntex Limited,AYMSYNTEX
B&B Triplewall Containers Limited,BBTCL
B. L. Kashyap and Sons Limited,BLKASHYAP
B.A.G Films and Media Limited,BAGFILMS
Baba Agro Food Limited,BABAFOOD
Bafna Pharmaceuticals Limited,BAFNAPH
Bajaj Auto Limited,BAJAJ-AUTO
Bajaj Consumer Care Limited,BAJAJCON
Bajaj Electricals Limited,BAJAJELEC
Bajaj Finance Limited,BAJFINANCE
Bajaj Finserv Limited,BAJAJFINSV
Bajaj Hindusthan Sugar Limited,BAJAJHIND
Bajaj Holdings & Investment Limited,BAJAJHLDNG
Bal Pharma Limited,BALPHARMA
Balaji Amines Limited,BALAMINES
Balaji Telefilms Limited,BALAJITELE
Balaxi Ventures Limited,BALAXI
Balkrishna Industries Limited,BALKRISIND
Balkrishna Paper Mills Limited,BALKRISHNA
Ballarpur Industries Limited,BALLARPUR
Balmer Lawrie & Company Limited,BALMLAWRIE
Balrampur Chini Mills Limited,BALRAMCHIN
Banaras Beads Limited,BANARBEADS
Banco Products (I) Limited,BANCOINDIA
Bandhan Bank Limited,BANDHANBNK
Bang Overseas Limited,BANG
Bank of Baroda,BANKBARODA
Bank of India,BANKINDIA
Bank of Maharashtra,MAHABANK
Banka BioLoo Limited,BANKA
Bannari Amman Spinning Mills Limited,BASML
Bannari Amman Sugars Limited,BANARISUG
Banswara Syntex Limited,BANSWRAS
Barak Valley Cements Limited,BVCL
Bartronics India Limited,BARTRONICS
BASF India Limited,BASF
Bata India Limited,BATAINDIA
BDR Buildcon Limited,BDR
Beardsell Limited,BEARDSELL
Bedmutha Industries Limited,BEDMUTHA
BEML Limited,BEML
Berger Paints (I) Limited,BERGEPAINT
Beta Drugs Limited,BETA
BF Investment Limited,BFINVEST
BF Utilities Limited,BFUTILITIE
BGR Energy Systems Limited,BGRENERGY
Bhageria Industries Limited,BHAGERIA
Bhagyanagar India Limited,BHAGYANGR
Bhagyanagar Properties Limited,BHAGYAPROP
Bhalchandram Clothing Limited,BHALCHANDR
Bhandari Hosiery Exports Limited,BHANDARI
Bhansali Engineering Polymers Limited,BEPL
Bharat Bijlee Limited,BBL
Bharat Dynamics Limited,BDL
Bharat Electronics Limited,BEL
Bharat Forge Limited,BHARATFORG
Bharat Gears Limited,BHARATGEAR
Bharat Heavy Electricals Limited,BHEL
Bharat Petroleum Corporation Limited,BPCL
Bharat Rasayan Limited,BHARATRAS
Bharat Road Network Limited,BRNL
Bharat Wire Ropes Limited,BHARATWIRE
Bharti Airtel Limited,BHARTIARTL
Bharti Infratel Limited,INFRATEL
Bhartiya International Limited,BIL
Bigbloc Construction Limited,BIGBLOC
Bil Energy Systems Limited,BILENERGY
Biocon Limited,BIOCON
Biofil Chemicals & Pharmaceuticals Limited,BIOFILCHEM
Birla Cable Limited,BIRLACABLE
Birla Corporation Limited,BIRLACORPN
Birla Tyres Limited,BIRLATYRE
Birlasoft Limited,BSOFT
Bkm Industries Limited,BKMINDST
BLB Limited,BLBLIMITED
Bliss GVS Pharma Limited,BLISSGVS
BLS International Services Limited,BLS
Blue Chip India Limited,BLUECHIP
Blue Coast Hotels Limited,BLUECOAST
Blue Dart Express Limited,BLUEDART
Blue Star Limited,BLUESTARCO
Bodal Chemicals Limited,BODALCHEM
Bohra Industries Limited,BOHRA
Bombay Burmah Trading Corporation Limited,BBTC
Bombay Dyeing & Mfg Company Limited,BOMDYEING
Bombay Rayon Fashions Limited,BRFL
Bombay Super Hybrid Seeds Limited,BSHSL
Borosil Renewables Limited,BORORENEW
Bosch Limited,BOSCHLTD
BPL Limited,BPL
Brand Concepts Limited,BCONCEPTS
Brigade Enterprises Limited,BRIGADE
Bright Solar Limited,BRIGHT
Brightcom Group Limited,BCG
Britannia Industries Limited,BRITANNIA
Brooks Laboratories Limited,BROOKS
BSE Limited,BSE
BSEL Infrastructure Realty Limited,BSELINFRA
BSL Limited,BSL
Burnpur Cement Limited,BURNPUR
Butterfly Gandhimathi Appliances Limited,BUTTERFLY
Best Stock Advisory,BSD
C & C Constructions Limited,CANDC
Cadila Healthcare Limited,CADILAHC
Cadsys (India) Limited,CADSYS
California Software Company Limited,CALSOFT
Cambridge Technology Enterprises Limited,CTE
Camlin Fine Sciences Limited,CAMLINFINE
Can Fin Homes Limited,CANFINHOME
Canara Bank,CANBK
Cantabil Retail India Limited,CANTABIL
Capacit'e Infraprojects Limited,CAPACITE
Capital Trust Limited,CAPTRUST
Caplin Point Laboratories Limited,CAPLIPOINT
Capri Global Capital Limited,CGCL
Carborundum Universal Limited,CARBORUNIV
CARE Ratings Limited,CARERATING
Career Point Limited,CAREERP
Castex Technologies Limited,CASTEXTECH
Castrol India Limited,CASTROLIND
CCL Products (India) Limited,CCL
CEAT Limited,CEATLTD
Celebrity Fashions Limited,CELEBRITY
Central Bank of India,CENTRALBK
Central Depository Services (India) Limited,CDSL
Centrum Capital Limited,CENTRUM
Centum Electronics Limited,CENTUM
Century Enka Limited,CENTENKA
Century Extrusions Limited,CENTEXT
Century Plyboards (India) Limited,CENTURYPLY
Century Textiles & Industries Limited,CENTURYTEX
Cera Sanitaryware Limited,CERA
Cerebra Integrated Technologies Limited,CEREBRAINT
CESC Limited,CESC
CESC Ventures Limited,CESCVENT
CG Power and Industrial Solutions Limited,CGPOWER
Chalet Hotels Limited,CHALET
Chambal Fertilizers & Chemicals Limited,CHAMBLFERT
Chembond Chemicals Ltd,CHEMBOND
Chemcon Speciality Chemicals Limited,CHEMCON
Chemfab Alkalis Limited,CHEMFAB
Chennai Petroleum Corporation Limited,CHENNPETRO
Cholamandalam Financial Holdings Limited,CHOLAHLDNG
Cholamandalam Investment and Finance Company Limited,CHOLAFIN
Chromatic India Limited,CHROMATIC
Cigniti Technologies Limited,CIGNITITEC
CIL Nova Petrochemicals Limited,CNOVAPETRO
Cimmco Limited,CIMMCO
Cineline India Limited,CINELINE
Cinevista Limited,CINEVISTA
Cipla Limited,CIPLA
City Union Bank Limited,CUB
CKP Leisure Limited,CKPLEISURE
CKP Products Limited,CKPPRODUCT
CL Educate Limited,CLEDUCATE
Clariant Chemicals (India) Limited,CLNINDIA
CMI Limited,CMICABLES
CMM Infraprojects Limited,CMMIPL
Coal India Limited,COALINDIA
Cochin Shipyard Limited,COCHINSHIP
Coforge Limited,COFORGE
Colgate Palmolive (India) Limited,COLPAL
Commercial Engineers & Body Builders Co Limited,CEBBCO
Compuage Infocom Limited,COMPINFO
Compucom Software Limited,COMPUSOFT
Computer Age Management Services Limited,CAMS
Confidence Petroleum India Limited,CONFIPET
Consolidated Construction Consortium Limited,CCCL
Consolidated Finvest & Holdings Limited,CONSOFINVT
Container Corporation of India Limited,CONCOR
Continental Seeds and Chemicals Limited,CONTI
Control Print Limited,CONTROLPR
Coral India Finance & Housing Limited,CORALFINAC
Cords Cable Industries Limited,CORDSCABLE
Coromandel International Limited,COROMANDEL
Cosmo Films Limited,COSMOFILMS
Country Club Hospitality & Holidays Limited,CCHHL
Country Condo's Limited,COUNCODOS
Cox & Kings Financial Service Limited,CKFSL
Cox & Kings Limited,COX&KINGS
Creative Eye Limited,CREATIVEYE
Creative Peripherals and Distribution Limited,CREATIVE
CreditAccess Grameen Limited,CREDITACC
Crest Ventures Limited,CREST
CRISIL Limited,CRISIL
Crompton Greaves Consumer Electricals Limited,CROMPTON
Crown Lifters Limited,CROWN
CSB Bank Limited,CSBBANK
Cubex Tubings Limited,CUBEXTUB
Cummins India Limited,CUMMINSIND
Cupid Limited,CUPID
Cybertech Systems And Software Limited,CYBERTECH
Cyient Limited,CYIENT
D B Realty Limited,DBREALTY
D P Wires Limited,DPWIRES
D. P. Abhushan Limited,DPABHUSHAN
D.B.Corp Limited,DBCORP
Dabur India Limited,DABUR
Dalmia Bharat Limited,DALBHARAT
Dalmia Bharat Sugar and Industries Limited,DALMIASUG
Damodar Industries Limited,DAMODARIND
Dangee Dums Limited,DANGEE
Datamatics Global Services Limited,DATAMATICS
DB (International) Stock Brokers Limited,DBSTOCKBRO
DC Infotech and Communication Limited,DCI
DCB Bank Limited,DCBBANK
DCM Limited,DCM
DCM Financial Services Limited,DCMFINSERV
DCM Nouvelle Limited,DCMNVL
DCM Shriram Limited,DCMSHRIRAM
DCW Limited,DCW
De Nora India Limited,DENORA
Debock Sales And Marketing Limited,DSML
Deccan Cements Limited,DECCANCE
Deep Industries Limited,DEEPIND
Deepak Fertilizers and Petrochemicals Corporation Limited,DEEPAKFERT
Deepak Nitrite Limited,DEEPAKNTR
Delta Corp Limited,DELTACORP
Delta Manufacturing Limited,DELTAMAGNT
Den Networks Limited,DEN
Dev Information Technology Limited,DEVIT
Dewan Housing Finance Corporation Limited,DHFL
DFM Foods Limited,DFMFOODS
Dhampur Sugar Mills Limited,DHAMPURSUG
Dhanlaxmi Bank Limited,DHANBANK
Dhanuka Agritech Limited,DHANUKA
Dhanuka Realty Limited,DRL
Dharani Sugars & Chemicals Limited,DHARSUGAR
Dhunseri Investments Limited,DHUNINV
Dhunseri Tea & Industries Limited,DTIL
Dhunseri Ventures Limited,DVL
Diamond Power Infra Ltd,DIAPOWER
DIC India Limited,DICIND
Digicontent Limited,DGCONTENT
DiGiSPICE Technologies Limited,DIGISPICE
Digjam Limited,DIGJAMLTD
Diligent Media Corporation Limited,DNAMEDIA
Dilip Buildcon Limited,DBL
Dish TV India Limited,DISHTV
Dishman Carbogen Amcis Limited,DCAL
Divi's Laboratories Limited,DIVISLAB
Dixon Technologies (India) Limited,DIXON
DLF Limited,DLF
D-Link (India) Limited,DLINKINDIA
Dollar Industries Limited,DOLLAR
Donear Industries Limited,DONEAR
DPSC Limited,DPSCLTD
DQ Entertainment (International) Limited,DQE
Dr. Lal Path Labs Ltd.,LALPATHLAB
Dr. Reddy's Laboratories Limited,DRREDDY
Dredging Corporation of India Limited,DREDGECORP
DRS Dilip Roadlines Limited,DRSDILIP
Ducon Infratechnologies Limited,DUCON
Dwarikesh Sugar Industries Limited,DWARKESH
Dynacons Systems & Solutions Limited,DSSL
Dynamatic Technologies Limited,DYNAMATECH
Dynemic Products Limited,DYNPRO
E2E Networks Limited,E2E
Eastern Silk Industries Limited,EASTSILK
Easun Reyrolle Limited,EASUNREYRL
EbixCash World Money Limited,EBIXFOREX
eClerx Services Limited,ECLERX
Edelweiss Financial Services Limited,EDELWEISS
Educomp Solutions Limited,EDUCOMP
Eicher Motors Limited,EICHERMOT
EID Parry India Limited,EIDPARRY
EIH Associated Hotels Limited,EIHAHOTELS
EIH Limited,EIHOTEL
Eimco Elecon (India) Limited,EIMCOELECO
Elecon Engineering Company Limited,ELECON
Electrosteel Castings Limited,ELECTCAST
Electrotherm (India) Limited,ELECTHERM
Elgi Equipments Limited,ELGIEQUIP
Elgi Rubber Company Limited,ELGIRUBCO
Emami Limited,EMAMILTD
Emami Paper Mills Limited,EMAMIPAP
Emami Realty Limited,EMAMIREAL
Emco Limited,EMCO
Emkay Global Financial Services Limited,EMKAY
Emkay Taps and Cutting Tools Limited,EMKAYTOOLS
Electronics Mart India Limited,EMIL
Emmbi Industries Limited,EMMBI
Empee Distilleries Limited,EDL
Endurance Technologies Limited,ENDURANCE
Energy Development Company Limited,ENERGYDEV
Engineers India Limited,ENGINERSIN
Entertainment Network (India) Limited,ENIL
Eon Electric Limited,EON
Equitas Holdings Limited,EQUITAS
Equitas Small Finance Bank Limited,EQUITASBNK
Eris Lifesciences Limited,ERIS
Eros International Media Limited,EROSMEDIA
Esab India Limited,ESABINDIA
Escorts Limited,ESCORTS
Essar Shipping Limited,ESSARSHPNG
Essel Propack Limited,ESSELPACK
Ester Industries Limited,ESTER
Euro Ceramics Limited,EUROCERA
Euro India Fresh Foods Limited,EIFFL
Euro Multivision Limited,EUROMULTI
Eurotex Industries and Exports Limited,EUROTEXIND
Eveready Industries India Limited,EVEREADY
Everest Industries Limited,EVERESTIND
Everest Kanto Cylinder Limited,EKC
Excel Industries Limited,EXCELINDUS
Excel Realty N Infra Limited,EXCEL
Exide Industries Limited,EXIDEIND
Expleo Solutions Limited,EXPLEOSOL
Fairchem Speciality Limited,FAIRCHEM
FCS Software Solutions Limited,FCSSOFT
FDC Limited,FDC
Federal-Mogul Goetze (India) Limited,FMGOETZE
Felix Industries Limited,FELIX
Fertilizers and Chemicals Travancore Limited,FACT
Fiem Industries Limited,FIEMIND
Filatex India Limited,FILATEX
Fine Organic Industries Limited,FINEORG
Fineotex Chemical Limited,FCL
Finolex Cables Limited,FINCABLES
Finolex Industries Limited,FINPIPE
Firstsource Solutions Limited,FSL
Flexituff Ventures International Limited,FLEXITUFF
Focus Lighting and Fixtures Limited,FOCUS
Fortis Healthcare Limited,FORTIS
Foseco India Limited,FOSECOIND
Fourth Dimension Solutions Limited,FOURTHDIM
Future Consumer Limited,FCONSUMER
Future Enterprises Limited,FEL
Future Lifestyle Fashions Limited,FLFL
Future Market Networks Limited,FMNL
Future Retail Limited,FRETAIL
Future Supply Chain Solutions Limited,FSC
Gabriel India Limited,GABRIEL
GAIL (India) Limited,GAIL
Galaxy Surfactants Limited,GALAXYSURF
Gallantt Ispat Limited,GALLISPAT
Gallantt Metal Limited,GALLANTT
Gammon Infrastructure Projects Limited,GAMMNINFRA
Gandhi Special Tubes Limited,GANDHITUBE
Ganesh Housing Corporation Limited,GANESHHOUC
Ganesha Ecosphere Limited,GANECOS
Ganga Forging Limited,GANGAFORGE
Ganges Securities Limited,GANGESSECU
Garden Reach Shipbuilders & Engineers Limited,GRSE
Garden Silk Mills Limited,GARDENSILK
Garware Technical Fibres Limited,GARFIBRES
Gateway Distriparks Limited,GDL
GATI Limited,GATI
Gayatri Highways Limited,GAYAHWS
Gayatri Projects Limited,GAYAPROJ
GB Global Limited,GBGLOBAL
GE Power India Limited,GEPIL
GE T&D India Limited,GET&D
GeeCee Ventures Limited,GEECEE
Geekay Wires Limited,GEEKAYWIRE
General Insurance Corporation of India,GICRE
Genesys International Corporation Limited,GENESYS
Genus Paper & Boards Limited,GENUSPAPER
Genus Power Infrastructures Limited,GENUSPOWER
Geojit Financial Services Limited,GEOJITFSL
GFL Limited,GFLLIMITED
GHCL Limited,GHCL
GI Engineering Solutions Limited,GISOLUTION
GIC Housing Finance Limited,GICHSGFIN
Gillanders Arbuthnot & Company Limited,GILLANDERS
Gillette India Limited,GILLETTE
Ginni Filaments Limited,GINNIFILA
GIR Natureview Resorts Limited,GIRRESORTS
GKW Limited,GKWLIMITED
Gland Pharma Limited,GLAND
GlaxoSmithKline Consumer Healthcare Limited,GSKCONS
GlaxoSmithKline Pharmaceuticals Limited,GLAXO
Glenmark Pharmaceuticals Limited,GLENMARK
Global Education Limited,GLOBAL
Global Offshore Services Limited,GLOBOFFS
Global Vectra Helicorp Limited,GLOBALVECT
Globe International Carriers Limited,GICL
Globe Textiles (India) Limited,GLOBE
Globus Spirits Limited,GLOBUSSPR
GM Breweries Limited,GMBREW
GMM Pfaudler Limited,GMMPFAUDLR
GMR Infrastructure Limited,GMRINFRA
GNA Axles Limited,GNA
Goa Carbon Limited,GOACARBON
GOCL Corporation Limited,GOCLCORP
Godawari Power And Ispat limited,GPIL
Godfrey Phillips India Limited,GODFRYPHLP
Godha Cabcon & Insulation Limited,GODHA
Godrej Agrovet Limited,GODREJAGRO
Godrej Consumer Products Limited,GODREJCP
Godrej Industries Limited,GODREJIND
Godrej Properties Limited,GODREJPROP
Goenka Diamond and Jewels Limited,GOENKA
Gokaldas Exports Limited,GOKEX
Gokul Agro Resources Limited,GOKULAGRO
Gokul Refoils and Solvent Limited,GOKUL
Golden Tobacco Limited,GOLDENTOBC
Goldiam International Limited,GOLDIAM
Goldstar Power Limited,GOLDSTAR
Goldstone Technologies Limited,GOLDTECH
Goodluck India Limited,GOODLUCK
GP Petroleums Limited,GULFPETRO
GPT Infraprojects Limited,GPTINFRA
Grand Foundry Limited,GFSTEELS
Granules India Limited,GRANULES
Graphite India Limited,GRAPHITE
Grasim Industries Limited,GRASIM
Gravita India Limited,GRAVITA
Greaves Cotton Limited,GREAVESCOT
Greenlam Industries Limited,GREENLAM
Greenpanel Industries Limited,GREENPANEL
Greenply Industries Limited,GREENPLY
Gretex Industries Limited,GRETEX
Grindwell Norton Limited,GRINDWELL
G R Infraprojects Limited,GRINFRA
GRP Limited,GRPLTD
GSS Infotech Limited,GSS
GTL Infrastructure Limited,GTLINFRA
GTL Limited,GTL
GTN Industries Limited,GTNIND
GTN Textiles Limited,GTNTEX
GTPL Hathway Limited,GTPL
Gufic Biosciences Limited,GUFICBIO
Gujarat Alkalies and Chemicals Limited,GUJALKALI
Gujarat Ambuja Exports Limited,GAEL
Gujarat Apollo Industries Limited,GUJAPOLLO
Gujarat Fluorochemicals Limited,FLUOROCHEM
Gujarat Gas Limited,GUJGASLTD
Gujarat Industries Power Company Limited,GIPCL
Gujarat Lease Financing Limited,GLFL
Gujarat Mineral Development Corporation Limited,GMDCLTD
Gujarat Narmada Valley Fertilizers and Chemicals Limited,GNFC
Gujarat Pipavav Port Limited,GPPL
Gujarat Raffia Industries Limited,GUJRAFFIA
Gujarat Sidhee Cement Limited,GSCLCEMENT
Gujarat State Fertilizers & Chemicals Limited,GSFC
Gujarat State Petronet Limited,GSPL
Gulf Oil Lubricants India Limited,GULFOILLUB
Gulshan Polyols Limited,GULPOLY
GVK Power & Infrastructure Limited,GVKPIL
Gyscoal Alloys Limited,GAL
H.G. Infra Engineering Limited,HGINFRA
Happiest Minds Technologies Limited,HAPPSTMNDS
Harita Seating Systems Limited,HARITASEAT
Harrisons Malayalam Limited,HARRMALAYA
Hathway Cable & Datacom Limited,HATHWAY
Hatsun Agro Product Limited,HATSUN
Havells India Limited,HAVELLS
HB Stockholdings Limited,HBSL
HBL Power Systems Limited,HBLPOWER
HCL Infosystems Limited,HCL-INSYS
HCL Technologies Limited,HCLTECH
HDFC Asset Management Company Limited,HDFCAMC
HDFC Bank Limited,HDFCBANK
HDFC Life Insurance Company Limited,HDFCLIFE
Healthcare Global Enterprises Limited,HCG
HEC Infra Projects Limited,HECPROJECT
HEG Limited,HEG
HeidelbergCement India Limited,HEIDELBERG
Heranba Industries Limited,HERANBA
Hercules Hoists Limited,HERCULES
Heritage Foods Limited,HERITGFOOD
Hero MotoCorp Limited,HEROMOTOCO
Hester Biosciences Limited,HESTERBIO
Hexa Tradex Limited,HEXATRADEX
Hexaware Technologies Limited,HEXAWARE
HFCL Limited,HFCL
Hikal Limited,HIKAL
HIL Limited,HIL
Hilton Metal Forging Limited,HILTON
Himadri Speciality Chemical Limited,HSCL
Himatsingka Seide Limited,HIMATSEIDE
Hind Rectifiers Limited,HIRECT
Hindalco Industries Limited,HINDALCO
Hindcon Chemicals Limited,HINDCON
Hindprakash Industries Limited,HPIL
Hinduja Global Solutions Limited,HGS
Hindustan Aeronautics Limited,HAL
Hindustan Composites Limited,HINDCOMPOS
Hindustan Construction Company Limited,HCC
Hindustan Copper Limited,HINDCOPPER
Hindustan Media Ventures Limited,HMVL
Hindustan Motors Limited,HINDMOTORS
Hindustan Oil Exploration Company Limited,HINDOILEXP
Hindustan Petroleum Corporation Limited,HINDPETRO
Hindustan Unilever Limited,HINDUNILVR
Hindustan Zinc Limited,HINDZINC
Hindustan National Glass & Industries Limited,HINDNATGLS
Hisar Metal Industries Limited,HISARMETAL
Hitech Corporation Limited,HITECHCORP
Hi-Tech Pipes Limited,HITECH
HLV Limited,HLVLTD
HMT Limited,HMT
Honda Siel Power Products Limited,HONDAPOWER
Honeywell Automation India Limited,HONAUT
Hotel Rugby Limited,HOTELRUGBY
Housing & Urban Development Corporation Limited,HUDCO
Housing Development and Infrastructure Limited,HDIL
Housing Development Finance Corporation Limited,HDFC
HOV Services Limited,HOVS
HPL Electric & Power Limited,HPL
HSIL Limited,HSIL
HT Media Limited,HTMEDIA
Hubtown Limited,HUBTOWN
Huhtamaki PPL Limited,PAPERPROD
Husys Consulting Limited,HUSYSLTD
Ice Make Refrigeration Limited,ICEMAKE
ICICI Bank Limited,ICICIBANK
ICICI Lombard General Insurance Company Limited,ICICIGI
ICICI Prudential Life Insurance Company Limited,ICICIPRULI
ICICI Securities Limited,ISEC
ICRA Limited,ICRA
IDBI Bank Limited,IDBI
IDFC First Bank Limited,IDFCFIRSTB
IDFC Limited,IDFC
IFB Agro Industries Limited,IFBAGRO
IFB Industries Limited,IFBIND
IFCI Limited,IFCI
IFGL Refractories Limited,IFGLEXPOR
IG Petrochemicals Limited,IGPL
Igarashi Motors India Limited,IGARASHI
IIFL Finance Limited,IIFL
IIFL Securities Limited,IIFLSEC
IIFL Wealth Management Limited,IIFLWAM
IL&FS Engineering and Construction Company Limited,IL&FSENGG
IL&FS Investment Managers Limited,IVC
IL&FS Transportation Networks Limited,IL&FSTRANS
IMP Powers Limited,INDLMETER
